apparentTemperature,cloudCover,datetime,dewPoint,humidity,icon,precipIntensity,precipProbability,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
35.56,,2013-12-01 00:00:00,9.16,0.33,clear-night,0,0,,Clear,35.56,1385827200,0.0,6.206,18.0,4.99,1.58
29.21,,2013-12-01 01:00:00,9.89,0.39,clear-night,0,0,,Clear,32.05,1385830800,0.0,6.206,0.0,3.11,3.11
30.99,,2013-12-01 02:00:00,10.43,0.42,clear-night,0,0,1025.8,Clear,30.99,1385834400,0.0,6.206,20.0,1.04,1.04
29.08,,2013-12-01 03:00:00,11.77,0.48,clear-night,0,0,,Clear,29.08,1385838000,0.0,6.206,34.0,2.99,1.58
30.43,,2013-12-01 04:00:00,9.29,0.41,clear-night,0,0,,Clear,30.43,1385841600,0.0,6.206,19.0,2.61,2.61
29.08,,2013-12-01 05:00:00,8.59,0.42,clear-night,0,0,1025.08,Clear,29.08,1385845200,0.0,6.206,200.0,1.04,1.04
26.87,,2013-12-01 06:00:00,9.56,0.48,clear-night,0,0,,Clear,26.87,1385848800,0.0,6.206,341.0,1.04,1.04
29.38,,2013-12-01 07:00:00,8.73,0.41,clear-night,0,0,,Clear,29.38,1385852400,0.0,6.206,330.0,2.08,2.08
25.9,,2013-12-01 08:00:00,10.81,0.46,clear-night,0,0,1025.61,Clear,29.13,1385856000,,6.206,350.0,3.11,3.11
34.3,,2013-12-01 09:00:00,9.89,0.36,clear-night,0,0,,Clear,34.3,1385859600,,6.206,11.0,2.01,1.04
40.86,,2013-12-01 10:00:00,9.55,0.27,clear-night,0,0,,Clear,40.86,1385863200,,6.206,,2.99,1.04
45.4,,2013-12-01 11:00:00,8.93,0.21,clear-night,0,0,1024.99,Clear,46.35,1385866800,,6.206,324.0,4.0,3.15
46.18,,2013-12-01 12:00:00,3.24,0.16,clear-night,0,0,,Clear,47.97,1385870400,,6.206,300.0,,4.48
48.35,,2013-12-01 13:00:00,8.57,0.19,clear-night,0,0,,Clear,49.32,1385874000,,6.206,276.0,4.0,3.65
51.77,,2013-12-01 14:00:00,7.78,0.17,clear-night,0,0,1021.71,Clear,51.77,1385877600,,6.206,248.0,11.52,3.65
53.14,,2013-12-01 15:00:00,6.83,0.15,clear-night,0,0,,Clear,53.14,1385881200,,6.206,244.0,10.44,4.19
51.77,,2013-12-01 16:00:00,7.78,0.17,clear-night,0,0,,Clear,51.77,1385884800,,6.206,236.0,11.52,4.19
46.99,,2013-12-01 17:00:00,11.19,0.22,clear-night,0,0,1021.2,Clear,48.49,1385888400,0.0,6.206,208.0,4.19,4.19
45.7,,2013-12-01 18:00:00,11.96,0.24,clear-night,0,0,,Clear,46.58,1385892000,0.0,6.206,210.0,3.11,3.11
43.57,,2013-12-01 19:00:00,13.46,0.27,clear-night,0,0,,Clear,45.52,1385895600,0.0,6.206,210.0,10.93,4.15
41.64,0.25,2013-12-01 20:00:00,14.54,0.33,partly-cloudy-night,0,0,1021.41,Partly Cloudy,41.64,1385899200,0.0,6.206,180.0,10.4,2.08
38.59,0.0,2013-12-01 21:00:00,15.91,0.39,clear-night,0,0,,Clear,38.59,1385902800,0.0,4.346,180.0,2.08,2.08
37.29,0.0,2013-12-01 22:00:00,16.09,0.42,clear-night,0,0,,Clear,37.29,1385906400,0.0,4.346,341.0,2.61,2.61
32.87,,2013-12-01 23:00:00,16.78,0.51,clear-night,0,0,1020.91,Clear,32.87,1385910000,0.0,3.73,20.0,1.04,1.04
32.05,0.0,2013-12-02 00:00:00,15.38,0.5,clear-night,0,0,,Clear,32.05,1385913600,0.0,3.108,30.0,2.01,1.04
31.52,0.0,2013-12-02 01:00:00,16.01,0.52,clear-night,0,0,,Clear,31.52,1385917200,0.0,3.73,0.0,2.08,2.08
30.43,,2013-12-02 02:00:00,16.63,0.56,clear-night,0,0,1020.21,Clear,30.43,1385920800,0.0,4.346,350.0,2.08,2.08
25.85,0.0,2013-12-02 03:00:00,14.46,0.54,clear-night,0,0,,Clear,29.08,1385924400,0.0,4.346,341.0,3.11,3.11
31.26,0.0,2013-12-02 04:00:00,13.11,0.47,clear-night,0,0,,Clear,31.26,1385928000,0.0,4.974,11.0,2.08,2.08
24.9,,2013-12-02 05:00:00,13.94,0.55,clear-night,0,0,1019.22,Clear,28.24,1385931600,0.0,4.974,350.0,4.0,3.11
29.08,,2013-12-02 06:00:00,13.69,0.52,clear-night,0,0,,Clear,29.08,1385935200,0.0,6.206,356.0,6.0,2.61
23.87,,2013-12-02 07:00:00,12.37,0.5,clear-night,0,0,,Clear,28.55,1385938800,0.0,6.206,1.0,4.19,4.19
28.34,0.13,2013-12-02 08:00:00,14.42,0.48,partly-cloudy-day,0,0,1019.89,Partly Cloudy,31.88,1385942400,0.0,6.206,320.0,3.65,3.65
31.52,,2013-12-02 09:00:00,13.03,0.4,clear-night,0,0,,Clear,35.15,1385946000,,6.206,7.0,6.0,4.19
39.79,,2013-12-02 10:00:00,12.95,0.33,clear-night,0,0,,Clear,39.79,1385949600,,6.206,341.0,2.08,2.08
43.61,0.25,2013-12-02 11:00:00,11.23,0.26,partly-cloudy-day,0,0,1019.22,Partly Cloudy,43.61,1385953200,2.0,6.206,320.0,2.08,2.08
48.24,,2013-12-02 12:00:00,10.31,0.21,clear-night,0,0,,Clear,48.24,1385956800,,6.206,350.0,2.08,2.08
49.32,,2013-12-02 13:00:00,11.19,0.21,clear-night,0,0,,Clear,49.32,1385960400,,6.206,320.0,2.99,2.08
52.06,0.88,2013-12-02 14:00:00,11.62,0.2,cloudy,0,0,1017.38,Overcast,52.06,1385964000,1.0,6.206,180.0,2.01,1.04
51.77,,2013-12-02 15:00:00,11.62,0.2,clear-night,0,0,,Clear,51.77,1385967600,,6.206,,1.04,1.04
51.77,,2013-12-02 16:00:00,10.79,0.19,clear-night,0,0,,Clear,51.77,1385971200,,6.206,199.0,2.61,2.61
46.52,0.75,2013-12-02 17:00:00,13.73,0.26,partly-cloudy-night,0,0,1017.49,Mostly Cloudy,46.52,1385974800,0.0,6.206,210.0,2.08,2.08
43.79,0.0,2013-12-02 18:00:00,15.33,0.31,clear-night,0,0,,Clear,43.79,1385978400,0.0,4.974,,0.0,0.0
40.19,0.0,2013-12-02 19:00:00,15.21,0.36,clear-night,0,0,,Clear,40.19,1385982000,0.0,4.346,50.0,1.04,1.04
38.59,0.88,2013-12-02 20:00:00,16.05,0.4,cloudy,0,0,1019.42,Overcast,38.59,1385985600,0.0,3.73,120.0,1.04,1.04
35.84,0.0,2013-12-02 21:00:00,17.35,0.47,clear-night,0,0,,Clear,35.84,1385989200,0.0,3.73,11.0,2.08,2.08
36.45,0.0,2013-12-02 22:00:00,16.35,0.44,clear-night,0,0,,Clear,36.45,1385992800,0.0,3.73,356.0,2.99,2.61
36.45,,2013-12-02 23:00:00,16.36,0.44,clear-night,0,0,1020.7,Clear,36.45,1385996400,0.0,3.73,0.0,2.08,2.08
33.1,0.0,2013-12-03 00:00:00,14.94,0.4,clear-night,0,0,,Clear,37.29,1386000000,0.0,3.73,349.0,5.23,5.23
31.09,0.0,2013-12-03 01:00:00,14.62,0.43,clear-night,0,0,,Clear,34.77,1386003600,0.0,4.346,8.0,6.0,4.19
29.62,,2013-12-03 02:00:00,14.34,0.44,clear-night,0,0,1020.62,Clear,33.96,1386007200,0.0,4.346,8.0,7.99,4.72
29.18,,2013-12-03 03:00:00,14.34,0.46,clear-night,0,0,,Clear,33.13,1386010800,0.0,6.206,349.0,4.99,4.19
30.68,,2013-12-03 04:00:00,14.02,0.43,clear-night,0,0,,Clear,33.96,1386014400,0.0,6.206,327.0,6.0,3.68
29.52,,2013-12-03 05:00:00,14.46,0.45,clear-night,0,0,1021.12,Clear,33.42,1386018000,0.0,6.206,13.0,4.99,4.19
30.38,,2013-12-03 06:00:00,14.5,0.45,clear-night,0,0,,Clear,33.66,1386021600,0.0,6.206,359.0,4.0,3.65
34.49,,2013-12-03 07:00:00,14.5,0.43,clear-night,0,0,,Clear,34.49,1386025200,0.0,6.206,32.0,2.99,0.54
35.63,,2013-12-03 08:00:00,13.8,0.4,clear-night,0,0,1023.19,Clear,35.63,1386028800,,6.206,20.0,2.99,2.08
41.79,,2013-12-03 09:00:00,15.74,0.32,clear-night,0,0,,Clear,43.61,1386032400,,6.206,14.0,6.0,3.65
47.58,,2013-12-03 10:00:00,13.17,0.24,clear-night,0,0,,Clear,48.24,1386036000,,6.206,20.0,3.11,3.11
51.22,,2013-12-03 11:00:00,13.36,0.22,clear-night,0,0,1023.51,Clear,51.22,1386039600,,6.206,350.0,2.08,2.08
53.14,,2013-12-03 12:00:00,12.55,0.2,clear-night,0,0,,Clear,53.14,1386043200,,6.206,330.0,4.0,3.11
55.88,,2013-12-03 13:00:00,13.29,0.18,clear-night,0,0,,Clear,55.88,1386046800,,6.206,338.0,3.65,3.65
56.95,,2013-12-03 14:00:00,12.51,0.17,clear-night,0,0,1021.28,Clear,56.95,1386050400,,6.206,338.0,7.99,4.23
57.79,,2013-12-03 15:00:00,12.51,0.16,clear-night,0,0,,Clear,57.79,1386054000,,6.206,314.0,7.99,6.3
56.42,,2013-12-03 16:00:00,11.27,0.16,clear-night,0,0,,Clear,56.42,1386057600,,6.206,307.0,13.59,7.33
54.51,0.13,2013-12-03 17:00:00,11.18,0.17,partly-cloudy-night,0,0,1021.28,Partly Cloudy,54.51,1386061200,0.0,6.206,290.0,4.15,4.15
52.06,,2013-12-03 18:00:00,10.79,0.19,clear-night,0,0,,Clear,52.06,1386064800,0.0,6.206,284.0,3.65,3.65
51.22,,2013-12-03 19:00:00,11.62,0.2,clear-night,0,0,,Clear,51.22,1386068400,0.0,6.206,275.0,3.65,3.65
50.16,,2013-12-03 20:00:00,12.05,0.21,clear-night,0,0,1021.92,Clear,50.16,1386072000,0.0,6.206,251.0,2.08,2.08
49.32,,2013-12-03 21:00:00,12.86,0.23,clear-night,0,0,,Clear,49.32,1386075600,0.0,6.206,311.0,2.08,2.08
48.19,0.0,2013-12-03 22:00:00,16.92,0.28,clear-night,0,0,,Clear,48.78,1386079200,0.0,4.974,240.0,3.11,3.11
45.99,,2013-12-03 23:00:00,16.92,0.31,clear-night,0,0,1021.71,Clear,45.99,1386082800,0.0,4.346,257.0,4.0,2.61
41.34,0.0,2013-12-04 00:00:00,18.05,0.39,clear-night,0,0,,Clear,41.34,1386086400,0.0,3.108,,1.04,1.04
35.29,0.0,2013-12-04 01:00:00,17.06,0.43,clear-night,0,0,,Clear,37.45,1386090000,0.0,3.108,3.0,4.99,3.15
32.91,,2013-12-04 02:00:00,17.72,0.48,clear-night,0,0,1021.28,Clear,35.31,1386093600,0.0,3.108,0.0,3.11,3.11
34.24,,2013-12-04 03:00:00,17.76,0.51,clear-night,0,0,,Clear,34.24,1386097200,0.0,3.73,60.0,2.99,0.54
32.05,0.0,2013-12-04 04:00:00,18.38,0.57,clear-night,0,0,,Clear,32.05,1386100800,0.0,4.346,,1.0,0.0
31.81,0.0,2013-12-04 05:00:00,19.61,0.6,clear-night,0,0,,Clear,31.81,1386104400,0.0,4.346,320.0,2.01,1.04
32.35,,2013-12-04 06:00:00,19.43,0.59,clear-night,0,0,,Clear,32.35,1386108000,0.0,4.974,,1.04,1.04
30.99,,2013-12-04 07:00:00,19.01,0.61,clear-night,0,0,,Clear,30.99,1386111600,0.0,6.206,341.0,2.08,2.08
29.23,0.63,2013-12-04 08:00:00,18.95,0.55,partly-cloudy-day,0,0,1021.2,Mostly Cloudy,33.17,1386115200,0.0,6.206,5.0,4.99,4.19
36.24,,2013-12-04 09:00:00,19.33,0.44,clear-night,0,0,,Clear,39.19,1386118800,,6.206,341.0,4.15,4.15
43.42,,2013-12-04 10:00:00,16.7,0.31,clear-night,0,0,,Clear,46.04,1386122400,,6.206,356.0,5.23,5.23
50.16,0.88,2013-12-04 11:00:00,15.8,0.25,cloudy,0,0,1020.62,Overcast,50.16,1386126000,1.0,6.206,14.0,6.0,4.72
51.22,,2013-12-04 12:00:00,14.65,0.23,clear-night,0,0,,Clear,51.22,1386129600,,6.206,37.0,6.0,3.65
53.14,,2013-12-04 13:00:00,15.13,0.22,clear-night,0,0,,Clear,53.14,1386133200,,6.206,45.0,4.99,3.15
56.42,0.88,2013-12-04 14:00:00,15.06,0.19,cloudy,0,0,1018.12,Overcast,56.42,1386136800,1.0,6.206,38.0,4.99,3.65
56.95,,2013-12-04 15:00:00,15.53,0.19,clear-night,0,0,,Clear,56.95,1386140400,,6.206,57.0,4.99,2.61
54.21,,2013-12-04 16:00:00,15.46,0.21,clear-night,0,0,,Clear,54.21,1386144000,,6.206,71.0,3.65,3.65
50.11,0.88,2013-12-04 17:00:00,15.94,0.25,cloudy,0,0,1018.3,Overcast,50.11,1386147600,0.0,6.206,71.0,3.11,3.11
46.76,,2013-12-04 18:00:00,16.77,0.3,clear-night,0,0,,Clear,46.76,1386151200,0.0,6.206,,0.0,0.0
40.77,0.0,2013-12-04 19:00:00,12.19,0.31,clear-night,0,0,,Clear,40.77,1386154800,0.0,4.346,20.0,,2.24
40.77,0.88,2013-12-04 20:00:00,15.83,0.36,cloudy,0,0,1019.3,Overcast,40.77,1386158400,0.0,3.73,,,0.0
37.16,0.0,2013-12-04 21:00:00,15.83,0.41,clear-night,0,0,,Clear,37.16,1386162000,0.0,3.73,11.0,,2.24
35.71,0.0,2013-12-04 22:00:00,15.83,0.39,clear-night,0,0,,Clear,38.99,1386165600,0.0,3.73,341.0,,4.48
35.71,,2013-12-04 23:00:00,15.83,0.39,clear-night,0,0,1020.21,Clear,38.99,1386169200,0.0,3.73,350.0,,4.48
35.71,0.0,2013-12-05 00:00:00,15.83,0.39,clear-night,0,0,,Clear,38.99,1386172800,0.0,3.73,350.0,,4.48
37.16,0.0,2013-12-05 01:00:00,17.61,0.45,clear-night,0,0,,Clear,37.16,1386176400,0.0,3.73,,,2.24
31.49,,2013-12-05 02:00:00,17.61,0.48,clear-night,0,0,1021.49,Clear,35.36,1386180000,0.0,4.346,0.0,,4.48
31.49,,2013-12-05 03:00:00,17.61,0.48,clear-night,0,0,,Clear,35.36,1386183600,0.0,4.974,50.0,,4.48
35.6,,2013-12-05 04:00:00,10.41,0.26,clear-night,0,0,,Clear,42.57,1386187200,0.0,6.206,30.0,,13.42
33.59,,2013-12-05 05:00:00,8.58,0.3,clear-night,0,0,1023.28,Clear,37.16,1386190800,0.0,6.206,350.0,,4.48
29.73,,2013-12-05 06:00:00,12.19,0.38,clear-night,0,0,,Clear,35.36,1386194400,0.0,6.206,11.0,,6.72
31.88,,2013-12-05 07:00:00,12.19,0.33,clear-night,0,0,,Clear,38.99,1386198000,0.0,6.206,30.0,,11.19
32.86,,2013-12-05 08:00:00,10.41,0.3,clear-night,0,0,1026.09,Clear,38.99,1386201600,,6.206,11.0,,8.96
40.84,,2013-12-05 09:00:00,10.9,0.27,clear-night,0,0,,Clear,42.77,1386205200,,6.206,7.0,3.65,3.65
43.36,,2013-12-05 10:00:00,8.86,0.22,clear-night,0,0,,Clear,44.97,1386208800,,6.206,8.0,7.99,3.65
44.08,,2013-12-05 11:00:00,6.83,0.19,clear-night,0,0,1026.59,Clear,46.87,1386212400,,6.206,7.0,7.01,5.76
45.74,,2013-12-05 12:00:00,7.14,0.19,clear-night,0,0,,Clear,47.41,1386216000,,6.206,341.0,7.99,4.19
45.99,,2013-12-05 13:00:00,8.03,0.19,clear-night,0,0,,Clear,48.49,1386219600,,6.206,12.0,10.99,5.79
46.69,,2013-12-05 14:00:00,7.02,0.18,clear-night,0,0,1024.01,Clear,49.32,1386223200,,6.206,344.0,10.01,6.34
47.89,,2013-12-05 15:00:00,6.89,0.17,clear-night,0,0,,Clear,49.85,1386226800,,6.206,353.0,8.99,5.26
47.03,,2013-12-05 16:00:00,6.06,0.18,clear-night,0,0,,Clear,48.19,1386230400,,6.206,59.0,7.99,3.68
45.45,,2013-12-05 17:00:00,7.39,0.21,clear-night,0,0,1023.42,Clear,45.45,1386234000,0.0,6.206,152.0,2.99,1.58
41.34,,2013-12-05 18:00:00,9.76,0.27,clear-night,0,0,,Clear,41.34,1386237600,0.0,6.206,161.0,2.08,2.08
40.27,,2013-12-05 19:00:00,9.67,0.28,clear-night,0,0,,Clear,40.27,1386241200,0.0,6.206,161.0,2.08,2.08
40.57,,2013-12-05 20:00:00,9.18,0.27,clear-night,0,0,1023.42,Clear,40.57,1386244800,0.0,6.206,150.0,2.08,2.08
39.19,,2013-12-05 21:00:00,10.3,0.3,clear-night,0,0,,Clear,39.19,1386248400,0.0,6.206,170.0,2.08,2.08
36.7,,2013-12-05 22:00:00,11.8,0.35,clear-night,0,0,,Clear,36.7,1386252000,0.0,6.206,150.0,2.08,2.08
34.24,,2013-12-05 23:00:00,15.06,0.45,clear-night,0,0,1022.79,Clear,34.24,1386255600,0.0,6.206,150.0,2.08,2.08
32.35,0.0,2013-12-06 00:00:00,13.24,0.45,clear-night,0,0,,Clear,32.35,1386259200,0.0,4.346,,1.0,0.0
31.26,0.0,2013-12-06 01:00:00,13.94,0.48,clear-night,0,0,,Clear,31.26,1386262800,0.0,4.346,,1.0,0.0
29.6,,2013-12-06 02:00:00,13.94,0.52,clear-night,0,0,1021.62,Clear,29.6,1386266400,0.0,3.73,0.0,2.08,2.08
29.38,0.0,2013-12-06 03:00:00,13.94,0.52,clear-night,0,0,,Clear,29.38,1386270000,0.0,3.73,,0.0,0.0
29.08,0.0,2013-12-06 04:00:00,12.87,0.5,clear-night,0,0,,Clear,29.08,1386273600,0.0,3.73,350.0,1.04,1.04
27.16,,2013-12-06 05:00:00,14.42,0.58,clear-night,0,0,1020.78,Clear,27.16,1386277200,0.0,3.73,20.0,2.01,1.04
28.0,0.0,2013-12-06 06:00:00,14.18,0.56,clear-night,0,0,,Clear,28.0,1386280800,0.0,3.73,0.0,2.08,2.08
27.16,0.0,2013-12-06 07:00:00,14.86,0.59,clear-night,0,0,,Clear,27.16,1386284400,0.0,3.73,,0.0,0.0
26.08,0.63,2013-12-06 08:00:00,14.5,0.61,partly-cloudy-day,0,0,1021.2,Mostly Cloudy,26.08,1386288000,0.0,3.73,11.0,2.08,2.08
32.42,0.0,2013-12-06 09:00:00,17.33,0.53,clear-day,0,0,,Clear,32.42,1386291600,0.0,3.73,0.0,2.08,2.08
36.52,0.0,2013-12-06 10:00:00,15.68,0.42,clear-day,0,0,,Clear,36.52,1386295200,1.0,3.73,,2.01,1.04
40.32,0.38,2013-12-06 11:00:00,16.02,0.37,partly-cloudy-day,0,0,1020.62,Partly Cloudy,40.32,1386298800,2.0,3.73,221.0,2.01,1.04
43.61,0.0,2013-12-06 12:00:00,15.42,0.32,clear-day,0,0,,Clear,43.61,1386302400,2.0,4.346,324.0,8.86,2.61
46.87,0.0,2013-12-06 13:00:00,15.12,0.28,clear-day,0,0,,Clear,46.87,1386306000,2.0,4.974,311.0,8.86,2.08
49.32,0.25,2013-12-06 14:00:00,15.38,0.25,partly-cloudy-day,0,0,1018.01,Partly Cloudy,49.32,1386309600,1.0,4.974,320.0,2.08,2.08
50.39,,2013-12-06 15:00:00,15.91,0.25,clear-night,0,0,,Clear,50.39,1386313200,,6.206,,2.01,1.04
48.43,0.0,2013-12-06 16:00:00,19.9,0.31,clear-day,0,0,,Clear,49.02,1386316800,0.0,2.488,174.0,3.15,3.15
45.04,0.13,2013-12-06 17:00:00,21.82,0.36,partly-cloudy-night,0,0,1018.3,Partly Cloudy,47.12,1386320400,0.0,2.488,186.0,4.69,4.69
41.65,0.0,2013-12-06 18:00:00,23.48,0.46,clear-night,0,0,,Clear,43.01,1386324000,0.0,3.108,191.0,3.11,3.11
40.27,0.0,2013-12-06 19:00:00,23.32,0.5,clear-night,0,0,,Clear,40.27,1386327600,0.0,3.108,,2.01,1.04
36.37,0.0,2013-12-06 20:00:00,23.01,0.58,clear-night,0,0,1019.42,Clear,36.37,1386331200,0.0,3.108,71.0,2.08,2.08
36.98,0.0,2013-12-06 21:00:00,24.85,0.61,clear-night,0,0,,Clear,36.98,1386334800,0.0,3.108,,0.0,0.0
34.77,0.0,2013-12-06 22:00:00,24.98,0.67,clear-night,0,0,,Clear,34.77,1386338400,0.0,3.108,71.0,1.04,1.04
32.87,,2013-12-06 23:00:00,24.14,0.7,clear-night,0,0,1020.01,Clear,32.87,1386342000,0.0,3.108,90.0,1.04,1.04
32.35,0.0,2013-12-07 00:00:00,23.65,0.7,clear-night,0,0,,Clear,32.35,1386345600,0.0,3.108,90.0,1.04,1.04
30.43,0.0,2013-12-07 01:00:00,21.97,0.7,clear-night,0,0,,Clear,30.43,1386349200,0.0,3.108,350.0,1.04,1.04
30.99,,2013-12-07 02:00:00,22.53,0.71,clear-night,0,0,1020.09,Clear,30.99,1386352800,0.0,3.108,,0.0,0.0
30.43,0.0,2013-12-07 03:00:00,21.41,0.69,clear-night,0,0,,Clear,30.43,1386356400,0.0,3.108,,1.0,0.0
25.79,0.0,2013-12-07 04:00:00,20.7,0.71,clear-night,0,0,,Clear,29.08,1386360000,0.0,3.108,322.0,3.15,3.15
28.55,,2013-12-07 05:00:00,19.76,0.69,clear-night,0,0,1019.89,Clear,28.55,1386363600,0.0,3.73,7.0,4.0,2.61
28.55,0.0,2013-12-07 06:00:00,19.54,0.69,clear-night,0,0,,Clear,28.55,1386367200,0.0,4.346,0.0,2.99,2.08
28.0,0.0,2013-12-07 07:00:00,19.79,0.71,clear-night,0,0,,Clear,28.0,1386370800,0.0,4.346,0.0,2.08,2.08
28.0,0.0,2013-12-07 08:00:00,19.43,0.7,clear-day,0,0,1021.41,Clear,28.0,1386374400,0.0,3.73,0.0,4.99,2.08
31.56,0.0,2013-12-07 09:00:00,20.7,0.64,clear-day,0,0,,Clear,31.56,1386378000,0.0,3.73,17.0,2.99,2.61
34.59,0.0,2013-12-07 10:00:00,20.37,0.56,clear-day,0,0,,Clear,34.59,1386381600,1.0,3.108,11.0,2.99,2.08
38.43,0.75,2013-12-07 11:00:00,21.24,0.5,partly-cloudy-day,0,0,1021.62,Mostly Cloudy,38.43,1386385200,1.0,2.796,71.0,1.04,1.04
40.32,0.0,2013-12-07 12:00:00,23.92,0.52,fog,0,0,,Foggy,40.32,1386388800,2.0,1.989,140.0,2.99,2.08
39.88,0.0,2013-12-07 13:00:00,26.96,0.55,fog,0,0,,Foggy,41.94,1386392400,2.0,1.74,118.0,3.65,3.65
42.77,0.88,2013-12-07 14:00:00,27.87,0.55,fog,0,0,1018.91,Foggy,42.77,1386396000,1.0,1.555,120.0,4.99,2.08
42.77,0.0,2013-12-07 15:00:00,29.12,0.58,fog,0,0,,Foggy,42.77,1386399600,1.0,1.244,106.0,4.99,2.61
41.94,0.0,2013-12-07 16:00:00,29.55,0.61,fog,0,0,,Foggy,41.94,1386403200,0.0,1.244,101.0,2.08,2.08
38.89,0.88,2013-12-07 17:00:00,28.6,0.66,fog,0,0,1019.3,Foggy,38.89,1386406800,0.0,1.12,90.0,1.04,1.04
36.7,0.0,2013-12-07 18:00:00,28.66,0.72,fog,0,0,,Foggy,36.7,1386410400,0.0,1.12,71.0,1.04,1.04
35.63,0.0,2013-12-07 19:00:00,28.2,0.74,fog,0,0,,Foggy,35.63,1386414000,0.0,1.056,71.0,1.04,1.04
35.63,0.88,2013-12-07 20:00:00,29.38,0.78,fog,0,0,1020.41,Foggy,35.63,1386417600,0.0,0.994,,0.0,0.0
35.36,0.0,2013-12-07 21:00:00,29.5,0.79,fog,0,0,,Foggy,35.36,1386421200,0.0,1.056,,0.0,0.0
33.69,0.0,2013-12-07 22:00:00,27.69,0.78,fog,0,0,,Foggy,33.69,1386424800,0.0,1.056,30.0,1.04,1.04
35.36,,2013-12-07 23:00:00,28.85,0.77,fog,0,0,1020.62,Foggy,35.36,1386428400,0.0,1.056,11.0,2.08,2.08
36.75,0.0,2013-12-08 00:00:00,30.03,0.76,fog,0,0,,Foggy,36.75,1386432000,0.0,1.12,,0.0,0.0
38.12,0.0,2013-12-08 01:00:00,32.05,0.79,fog,0,0,,Foggy,38.12,1386435600,0.0,0.994,110.0,2.08,2.08
38.12,,2013-12-08 02:00:00,32.85,0.81,fog,0,0,1020.29,Foggy,38.12,1386439200,0.0,0.931,120.0,2.99,1.04
37.59,0.0,2013-12-08 03:00:00,32.32,0.81,fog,0,0,,Foggy,37.59,1386442800,0.0,0.931,,1.0,0.0
37.59,0.0,2013-12-08 04:00:00,31.86,0.8,fog,0,0,,Foggy,37.59,1386446400,0.0,1.056,341.0,2.08,2.08
38.12,,2013-12-08 05:00:00,32.54,0.8,fog,0,0,1020.01,Foggy,38.12,1386450000,0.0,1.056,,0.0,0.0
38.43,0.0,2013-12-08 06:00:00,31.36,0.75,fog,0,0,,Foggy,38.43,1386453600,0.0,1.056,330.0,2.99,2.08
34.55,0.0,2013-12-08 07:00:00,29.86,0.76,fog,0,0,,Foggy,36.75,1386457200,0.0,1.12,350.0,6.0,3.11
36.2,0.88,2013-12-08 08:00:00,29.36,0.76,fog,0,0,1020.7,Foggy,36.2,1386460800,0.0,1.056,11.0,2.08,2.08
37.59,0.0,2013-12-08 09:00:00,29.86,0.73,fog,0,0,,Foggy,37.59,1386464400,0.0,0.994,0.0,2.08,2.08
38.56,0.0,2013-12-08 10:00:00,30.38,0.67,fog,0,0,,Foggy,40.32,1386468000,1.0,1.12,40.0,3.15,3.15
42.23,0.88,2013-12-08 11:00:00,29.43,0.6,fog,0,0,1020.5,Foggy,42.23,1386471600,1.0,1.12,41.0,2.08,2.08
44.68,0.0,2013-12-08 12:00:00,30.13,0.56,fog,0,0,,Foggy,44.68,1386475200,2.0,1.244,20.0,2.99,2.61
45.04,0.0,2013-12-08 13:00:00,26.08,0.43,fog,0,0,,Foggy,47.41,1386478800,2.0,1.555,53.0,5.23,5.23
50.69,0.88,2013-12-08 14:00:00,20.62,0.3,cloudy,0,0,1018.61,Overcast,50.69,1386482400,1.0,3.73,341.0,7.33,7.33
46.42,,2013-12-08 15:00:00,16.28,0.26,clear-night,0,0,,Clear,49.85,1386486000,,4.346,331.0,10.99,8.41
